EmpleadoID,Nombre,Apellido,Email,SucursalID,FechaIngreso,Cargo,Activo
1,Carlos,García,carlos.garcía1@tiendalatam.com,1,4/1/20,Gerente de Sucursal,1
2,María,López,maría.lópez2@tiendalatam.com,2,4/10/23,Jefe de Ventas,1
3,Juan,Martínez,juan.martínez3@tiendalatam.com,3,1/18/21,Vendedor Senior,1
4,Ana,Rodríguez,ana.rodríguez4@tiendalatam.com,4,9/30/20,Vendedor Junior,1
5,Luis,González,luis.gonzález5@tiendalatam.com,5,3/19/20,Cajero,1
6,Laura,Hernández,laura.hernández6@tiendalatam.com,6,5/16/23,Asesor de Cliente,1
7,Roberto,Pérez,roberto.pérez7@tiendalatam.com,7,4/19/22,Gerente de Sucursal,1
8,Carmen,Sánchez,carmen.sánchez8@tiendalatam.com,8,11/10/20,Jefe de Ventas,1
9,Diego,Ramírez,diego.ramírez9@tiendalatam.com,9,11/23/18,Vendedor Senior,1
10,Sofía,Torres,sofía.torres10@tiendalatam.com,10,9/12/20,Vendedor Junior,1
11,Andrés,Flores,andrés.flores11@tiendalatam.com,11,11/2/18,Cajero,1
12,Valentina,Rivera,valentina.rivera12@tiendalatam.com,12,11/24/21,Asesor de Cliente,1
13,Miguel,Morales,miguel.morales13@tiendalatam.com,13,10/16/19,Gerente de Sucursal,1
14,Camila,Castro,camila.castro14@tiendalatam.com,14,11/28/18,Jefe de Ventas,1
15,Pablo,Ortiz,pablo.ortiz15@tiendalatam.com,15,7/22/22,Vendedor Senior,1
16,Isabella,Ramos,isabella.ramos16@tiendalatam.com,16,4/6/23,Vendedor Junior,1
17,Alejandro,Díaz,alejandro.díaz17@tiendalatam.com,17,7/14/20,Cajero,1
18,Lucía,Cruz,lucía.cruz18@tiendalatam.com,18,9/15/20,Asesor de Cliente,1
19,Mateo,Reyes,mateo.reyes19@tiendalatam.com,19,8/13/21,Gerente de Sucursal,1
20,Paula,Vargas,paula.vargas20@tiendalatam.com,20,1/11/23,Jefe de Ventas,1
21,Carlos,García,carlos.garcía21@tiendalatam.com,1,1/20/22,Vendedor Senior,1
22,María,López,maría.lópez22@tiendalatam.com,2,4/11/19,Vendedor Junior,1
23,Juan,Martínez,juan.martínez23@tiendalatam.com,3,6/6/21,Cajero,1
24,Ana,Rodríguez,ana.rodríguez24@tiendalatam.com,4,3/16/23,Asesor de Cliente,1
25,Luis,González,luis.gonzález25@tiendalatam.com,5,2/5/21,Gerente de Sucursal,1
26,Laura,Hernández,laura.hernández26@tiendalatam.com,6,8/19/18,Jefe de Ventas,1
27,Roberto,Pérez,roberto.pérez27@tiendalatam.com,7,9/4/22,Vendedor Senior,1
28,Carmen,Sánchez,carmen.sánchez28@tiendalatam.com,8,1/27/20,Vendedor Junior,1
29,Diego,Ramírez,diego.ramírez29@tiendalatam.com,9,6/18/21,Cajero,1
30,Sofía,Torres,sofía.torres30@tiendalatam.com,10,4/25/21,Asesor de Cliente,1
31,Andrés,Flores,andrés.flores31@tiendalatam.com,11,2/3/21,Gerente de Sucursal,1
32,Valentina,Rivera,valentina.rivera32@tiendalatam.com,12,11/12/21,Jefe de Ventas,1
33,Miguel,Morales,miguel.morales33@tiendalatam.com,13,10/26/18,Vendedor Senior,1
34,Camila,Castro,camila.castro34@tiendalatam.com,14,9/2/19,Vendedor Junior,1
35,Pablo,Ortiz,pablo.ortiz35@tiendalatam.com,15,12/25/21,Cajero,1
36,Isabella,Ramos,isabella.ramos36@tiendalatam.com,16,11/22/20,Asesor de Cliente,1
37,Alejandro,Díaz,alejandro.díaz37@tiendalatam.com,17,6/23/22,Gerente de Sucursal,1
38,Lucía,Cruz,lucía.cruz38@tiendalatam.com,18,8/11/19,Jefe de Ventas,1
39,Mateo,Reyes,mateo.reyes39@tiendalatam.com,19,10/3/21,Vendedor Senior,1
40,Paula,Vargas,paula.vargas40@tiendalatam.com,20,9/29/19,Vendedor Junior,1
