ClienteID,Nombre,Apellido,Email,Telefono,PaisID,Ciudad,TipoClienteID,FechaRegistro,Activo
1,Martín,García,martín.garcía1@email.com,12995325681,12,Colón,2,11/17/22,1
2,Florencia,López,florencia.lópez2@email.com,2965233690,2,Valparaíso,3,3/8/24,1
3,Santiago,Martínez,santiago.martínez3@email.com,7952834131,7,Montevideo,4,8/20/23,1
4,Valentina,Rodríguez,valentina.rodríguez4@email.com,8938004874,8,Lambaré,4,1/10/22,1
5,Nicolás,González,nicolás.gonzález5@email.com,4967360871,4,Cali,1,6/29/22,1
6,Agustina,Hernández,agustina.hernández6@email.com,2920934179,2,Antofagasta,2,1/24/22,1
7,Tomás,Pérez,tomás.pérez7@email.com,4922686927,4,Bogotá,1,3/16/23,1
8,Luciana,Sánchez,luciana.sánchez8@email.com,2944464812,2,Concepción,1,8/17/22,1
9,Benjamín,Ramírez,benjamín.ramírez9@email.com,3941401532,3,Lima,2,11/2/22,1
10,Catalina,Torres,catalina.torres10@email.com,4996551435,4,Bogotá,1,4/6/24,1
11,Emilio,Flores,emilio.flores11@email.com,10996821899,10,Guayaquil,1,6/10/20,1
12,Renata,Rivera,renata.rivera12@email.com,6995720925,6,Salvador,1,6/24/23,1
13,Rodrigo,Morales,rodrigo.morales13@email.com,5932101846,5,Puebla,1,6/17/23,1
14,Natalia,Castro,natalia.castro14@email.com,7926802471,7,Montevideo,3,6/20/20,1
15,Facundo,Ortiz,facundo.ortiz15@email.com,10991562194,10,Guayaquil,1,9/7/23,1
16,Jimena,Ramos,jimena.ramos16@email.com,1933129210,1,Mendoza,1,5/16/23,1
17,Ignacio,Díaz,ignacio.díaz17@email.com,2997438316,2,Concepción,1,4/28/24,1
18,Gabriela,Cruz,gabriela.cruz18@email.com,6981182175,6,Salvador,2,10/9/21,1
19,Federico,Reyes,federico.reyes19@email.com,12971099085,12,Colón,1,9/5/23,1
20,Daniela,Vargas,daniela.vargas20@email.com,9924576218,9,La Paz,1,2/12/21,1
21,Antonio,García,antonio.garcía21@email.com,2950400737,2,Santiago,1,8/15/20,1
22,Paola,López,paola.lópez22@email.com,11939479041,11,Caracas,1,3/31/23,1
